Codigo,Distrito,Hectareas,Poblacion,Densidad
2,Arganzuela,646.22,"151,965",235.16
21,Barajas,4192.28,"50,010",11.18
11,Carabanchel,1404.83,"260,196",173.68
1,Centro,522.82,"140,473",252.34
5,Chamartin,917.55,"147,551",156.31
7,Chamberi,467.92,"140,866",293.64
15,Ciudad Lineal,1142.57,"219,867",186.01
8,Fuencarral,23783.84,"249,973",10.04
16,Hortaleza,2741.98,"193,264",65.81
10,Latina,2542.72,"242,139",91.95
9,Moncloa,4653.11,"121,683",25.12
14,Moratalaz,610.32,"95,614",154.34
13,Puente de Vallecas,1496.86,"240,867",152.05
3,Retiro,546.62,"120,406",216.82
4,Salamanca,539.24,"147,854",266.67
20,San Blas,2229.24,"161,222",69.24
6,Tetuan,537.47,"161,313",286.13
12,Usera,777.77,"142,894",173.3
19,Vicalvaro,3526.67,"74,048",19.86
18,Villa de Vallecas,5146.72,"114,512",19.86
17,Villaverde,2018.76,"154,318",70.64
